Place_Name,Sub_Place,Negative_Review,Positive_Review,,,Rating1,Tags,TourId,rating
Mangalore,Sultan_Battery, I am so angry that i made this post available via all possible sites i use when planing my trips so no one will make the mistake of booking this place I made my booking via booking com We stayed for 6 nights in this location from 11 to 17 July Upon arrival we were placed in a small place on the 2nd floor of the location It turned out that this was not the place we booked I had specially reserved the 2 level duplex place so that we would have a big windows and high ceilings The place itself was ok if you don t mind the broken window that can not be closed hello rain and a mini fridge that contained some sort of a bio weapon at least i guessed so by the smell of it I intimately asked to change the place and after explaining 2 times that i booked a duplex btw it costs the same as a simple double but got way more volume due to the high ceiling was offered a place but only the next day SO i had to check out the next day before 11 o clock in order to get the place i waned to Not the best way to begin your holiday So we had to wait till 13 00 in order to check in my new place what a wonderful waist of my time The place 023 i got was just as i wanted to peaceful internal garden view big window We were tired from waiting the place so we placed our belongings and rushed to the city In the evening it turned out that there was a constant noise in the place i guess it was made by vibrating vent tubes or something it was constant and annoying as hell AND it did not stop even at 2 am making it hard to fall asleep for me and my wife I have an audio recording that i can not attach here but if you want i can send it via e mail The next day the technician came but was not able to determine the cause of the disturbing sound so i was offered to change the place once again the location was fully booked and they had only 1 place left the one that was smaller but seems newer , Only the park outside of the location was beautiful ,,,2.9,"[' Leisure trip ', ' Couple ']",1,3
Mangalore,Sultan_Battery,No Negative, No real complaints the location was great great location surroundings places amenities and service Two recommendations however firstly the staff upon check in are very confusing regarding deposit payments and the staff offer you upon checkout to refund your original payment and you can make a new one Bit confusing Secondly the on site arena is a bit lacking very well thought out and excellent quality food for anyone of a vegetarian or vegan background but even a wrap or toasted sandwich option would be great Aside from those minor minor things fantastic spot and will be back when i return to Amsterdam ,,,7.5,"[' Leisure trip ', ' Couple ']",2,8
Mangalore,Sultan_Battery, places are nice but for elderly a bit difficult as most places are two story with narrow steps So ask for single level Inside the places are very very basic just tea coffee and boiler and no Bus empty fridge , Location was good and staff were ok It is cute location the nature range is nice Will go back ,,,7.1,"[' Leisure trip ', ' Family with young children ']",3,8
Mangalore,Sultan_Battery, My place was dirty and I was afraid to walk Busefoot on the floor which looked as if it was not cleaned in weeks White furniture which looked nice in pictures was dirty too and the door looked like it was attacked by an angry dog My shower drain was clogged and the staff did not respond to my request to clean it On a day with heavy rainfall a pretty common occurrence in Amsterdam the roof in my place was leaking luckily not on the place you could also see signs of earlier water damage I also saw insects running on the floor Overall the second floor of the property looked dirty and badly kept On top of all of this a repairman who came to fix something in a place next door at midnight was very noisy as were many of the guests I understand the challenges of running a location in an old building but this negligence is inconsistent with prices demanded by the location On the last night after I complained about water damage the night shift manager offered to move me to a different place but that offer came pretty late around midnight when I was already in place and ready to sleep , Great location in nice surroundings the Bus and arena are nice and have a lovely outdoor area The building also has quite some character ,,,3.8,"[' Leisure trip ', ' Solo traveler ']",4,4
Mangalore,Sultan_Battery, You When I booked with your company on line you showed me pictures of a place I thought I was getting and paying for and then when we arrived that s place was booked and the staff told me we could only book the villa suite theough them directly Which was completely false advertising After being there we realised that you have grouped lots of places on the photos together leaving me the consumer confused and extreamly disgruntled especially as its my my wife s 40th birthday present Please make your website more clear through pricing and photos as again I didn t really know what I was paying for and how much it had wnded up being Your photos told me I was getting something I wasn t Not happy and won t be using you again , Amazing location and building Romantic setting ,,,6.7,"[' Leisure trip ', ' Couple ']",5,7
Mangalore,Sultan_Battery, Backyard of the location is total mess shouldn t happen in location with 4 stars , Good arena with modern design great chill out place Great park nearby the location and awesome main stairs ,,,6.7,"[' Leisure trip ', ' Group ']",6,7
Mangalore,Sultan_Battery, Cleaner did not change our sheet and duvet everyday but just made place They also didn t clean the floor and changed the body gel when we run out of it , The place is spacious and bright The location is located in a quiet and beautiful park ,,,4.6,"[' Leisure trip ', ' Group ']",7,5
Mangalore,Sultan_Battery, Apart from the price for the brekfast Everything very good, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the nature ,,,10,"[' Leisure trip ', ' Couple ']",8,10
Mangalore,Sultan_Battery, Even though the pictures show very clean places the actual place was quit dirty and outlived Also check in is at 15 o clock but our place was not ready at that time,No Positive,,,6.5,"[' Leisure trip ', ' Couple ']",9,7
Mangalore,Sultan_Battery, The aircondition makes so much noise and its hard to sleep at night , The place was big enough and the place is good The nature food and service on the location is good outside the location there is a big park which is very good for walk in the morning and evening Many people are having picnics and do some bicycling ,,,7.9,"[' Leisure trip ', ' Couple ']",10,8
